Target?,"RA,Dec (J2000)....",WDS.......,DD............,ADS..,HD....,HIP...,*V1.11*,*V2.22*,PPPP.PPPPPP,*,eee.eeeeee,AAA.AAAAA,*,ee.eeeee,III.IIII,eee.eeee,NNN.NNNN*,eee.eee,e TTTTT.TTTTTT,*,eee.eeeeee,E.EEEEEE,e.eeeeee,OOO.OOOO,eee.eeee,EQNX,LAST,G,N,REF.....,PNGFILE...........
,193922.60+300911.6,19394+3009,MCA  57,,185734,96683,4.7,.,434.171,d,0.015,26.9,m,0.75,80.8,0.63,251,0.86,28230.76,d,0.62,0.542,0.0063,34,1.3,,,1,n,Pbx2000b,wds19394+3009c.png
,193926.31+221523.2,19394+2215,STF2556,12752,185661,96691,7.71,8.92,622.4,y,.,0.678,a,.,140.9,.,44.5,.,1970.31,y,.,0.476,.,356,.,2000,1997,4,n,Ari1999,wds19394+2215a.png
,193949.46-232539.4,19398-2326,SEE 389,12741,185404,96729,6.8,7.51,47.15,y,.,0.188,a,.,94.9,.,149,.,1992.07,y,.,0.147,.,328,.,,1991,3,n,Doc1994a,wds19398-2326a.png
,194043.31-003716.7,19407-0037,CHR  88Aa,12775,185762,96807,5.66,.,21.7,y,1.9,0.085,a,0.006,163,10.8,175,63,1993.6,y,2.8,0.067,0.037,272,110,2000,1997,4,n,Hrt2000a,wds19407-0037a.png
,194105.53+134856.5,19411+1349,KUI  93,,185936,96840,6.69,6.75,61.72,y,3,0.129,a,0.05,65.4,15,153.8,20,2023.11,y,1.5,0.966,0.03,314.7,30,2000,2001,3,n,Doc2007d,wds19411+1349a.png
,194149.09+503131.6,19418+5032,"STFA 46Aa,B",12815,186408,96895,6,6.23,182.122,c,.,40.787,a,.,135.44,.,313.44,.,43.64,y,.,0.862,.,31.721,.,2000,1998,4,n,Mrc1999,wds19418+5032a.png
,194149.09+503131.6,19418+5032,STFA 46AB,12815,186408,96895,6,6.23,135.127,c,.,35.242,a,.,135.44,.,313.44,.,153.25,y,.,0.863,.,26.6,.,2000,1998,4,n,Mrc1999,wds19418+5032d.png
,194157.63+401514.6,19420+4015,KUI  94,,186307,96907,6.5,7.8,79,y,.,0.34,a,.,106,.,338,.,1981,y,.,0.38,.,12,.,2000,,3,n,Sod1999,wds19420+4015c.png
,194303.27-081826.6,19431-0818,GC 27279,,186158,97016,7.08,.,898.6192,d,38.1478,11.58,m,1.06,142.17,14.77,128.24,21.85,48482.9609,d,270.4615,0.1991,0.1919,271.87,123.84,,1991,9,n,HIP1997d,wds19431-0818p.png
,194333.45-152810.8,19436-1528,BUP 197A,,186185,97063,5.49,.,1422,d,416,19,m,4,36,11,201,116,49022,d,484,0.36,0.25,99,104,,1993,9,,Gln2006,wds19436-1528u.png
,194333.45-152810.8,19436-1528,BUP 197A,,186185,97063,5.49,.,1376,d,276,16,m,2,36,10,48,103,49197,d,510,0.25,0.23,96,62,,1993,9,,Gln2006,wds19436-1528v.png
,194458.44+450750.5,19450+4508,STF2579AB,12880,186882,97165,2.89,6.27,780.27,y,.,3,a,.,151.04,.,91.36,.,1880,y,.,0.467,.,120.21,.,2000,1982,4,n,Sca1983a,wds19450+4508a.png
,194533.52+333611.0,19456+3337,STF2576AB,12889,186858,97222,8.48,8.58,232,y,.,2.07,a,.,156,.,91,.,1945.3,y,.,0.77,.,128,.,2000,,2,n,Sod1999,wds19456+3337b.png
,194545.24+270738.5,19458+2710,KUI  95,,,97237,12.7,13.6,228,y,.,2.8,a,.,78,.,67,.,1961,y,.,0.5,.,179,.,2000,,5,n,Sod1999,wds19458+2710a.png
,194706.78-195250.1,19471-1953,BU  146,12909,186752,97348,8.61,9.52,315,y,.,0.9,a,.,47.6,.,175.3,.,2305,y,.,0.54,.,276.5,.,2000,1991,5,,Sey2002,wds19471-1953a.png
,194708.04-080909.9,19471-0809,A   108,12911,186847,97350,8.74,9.24,230.4,y,.,0.289,a,.,48.8,.,51.6,.,1946,y,.,0.69,.,267.4,.,,1995,4,n,Doc1995c,wds19471-0809a.png
,194723.27+183203.3,19474+1832,BLA   6,,187076,97365,4.32,4.95,10.11,y,.,0.051,a,.,140,.,170.2,.,1979.93,y,.,0.44,.,257.7,.,,,2,n,Eat1995,wds19474+1832a.png
,194723.94-014828.8,19474-0148,A  2993,12924,186949,97367,9.06,9.09,131.5,y,.,0.214,a,.,123.5,.,154,.,1982,y,.,0.13,.,175.4,.,2000,1989,4,n,Hei1991,wds19474-0148b.png
,194839.64+150332.4,19487+1504,A  1658,12961,187283,97469,8.3,8.74,88.1,y,.,0.224,a,.,169.8,.,51.5,.,1991.6,y,.,0.087,.,228.2,.,,2000,2,n,Doc2002h,wds19487+1504a.png
,194843.75+351840.7,19487+3519,STT 387,12972,187458,97477,7.12,7.9,164.88,y,0.58,0.6432,a,0.0025,131.75,0.48,154.44,0.52,1870.5,y,1.2,0.0577,0.003,103.5,2.4,2000,2005,2,n,WSI2006b,wds19487+3519k.png
,194858.65+190831.1,19490+1909,AGC  11AB,12973,187362,97496,5.64,6.04,23.22,y,0.96,0.1359,a,0.0016,133.19,0.85,340.7,1.4,1979.869,y,0.035,0.792,0.005,355.1,1.4,2000,,1,n,Hrt1989,wds19490+1909c.png
,194907.25-614853.2,19491-6149,I   120AB,,186602,97508,8.31,8.02,65.1,y,.,0.346,a,.,149,.,118,.,1997.3,y,.,0.68,.,141,.,2000,,3,n,Hei1996c,wds19491-6149a.png
,194937.32-552527.3,19496-5525,I   658,,186836,97548,9.16,10.06,275,y,.,0.95,a,.,129,.,119.8,.,1880,y,.,0.4,.,153,.,2000,1970,5,n,Hei1973c,wds19496-5525a.png
,195114.13-724742.2,19512-7248,HJ 5137A,,186502,97690,7.31,.,1007,d,115,9,m,3,63,12,41,93,48893,d,320,0.44,0.33,87,71,,1993,9,,Gln2006,wds19512-7248u.png
,195114.13-724742.2,19512-7248,HJ 5137A,,186502,97690,7.31,.,1063,d,61,9,m,2,60,9,47,93,48736,d,362,0.23,0.28,109,56,,1993,9,,Gln2006,wds19512-7248v.png
,195201.89-102113.5,19520-1021,BU  148AB,13028,187774,97766,7.74,8.41,783.31,y,.,1.365,a,.,120.5,.,38.1,.,2032.84,y,.,0.62,.,217.5,.,2000,2002,4,n,Lin2004b,wds19520-1021b.png
,195252.58+410449.3,19529+4105,SAO 48932,,188307,97837,7.73,.,512.0666,d,9.3499,10.36,m,1.17,142.04,9.43,188.44,15.1,48260.1406,d,21.0864,0.4323,0.1309,345.82,22.84,,1991,9,n,HIP1997d,wds19529+4105p.png
,195306.39-143611.1,19531-1436,CHR  90,,187949,97849,9.25,6.61,60.14,y,2.42,0.268,a,0.03,137.1,1.3,73.5,2.6,2001.65,y,2.02,0.77,0.03,51.2,3.3,2000,1996,4,n,Cve2008a,wds19531-1436k.png
,195308.30-252741.2,19531-2528,B   454,13048,187858,97851,8.71,8.87,44.5,y,.,0.193,a,.,81.35,.,157.09,.,1959.25,y,.,0.727,.,22.25,.,,1982,4,n,Csa1983c,wds19531-2528b.png
,195327.68+240446.3,19535+2405,DJU   4,,188260,97886,4.63,7.37,615.26,y,.,1.555,a,.,85.9,.,68.1,.,2027.82,y,.,0.079,.,169.7,.,2000,2003,5,n,Cve2007c,wds19535+2405k.png
,195354.45+442451.9,19539+4425,MCY   3Aa,,,,13.41,.,15.22,y,.,0.8,a,.,135,.,80,.,1983.1,y,.,0.32,.,38,.,2000,1989,5,n,Hrr1990,wds19539+4425a.png
,195456.19+504911.9,19549+5049,HU  687,13135,188871,97997,8.54,8.63,142.1,y,.,0.141,a,.,24.6,.,172.2,.,1960.5,y,.,0.316,.,76.4,.,,1992,3,n,Doc1994d,wds19549+5049d.png
,195458.41+415215.0,19550+4152,HO  581,13125,188753,98001,8.03,8.72,25.7,y,.,0.27,a,.,34,.,43,.,1988.2,y,.,0.5,.,236,.,2000,,1,n,Sod1999,wds19550+4152b.png
,195519.49-064404.7,19553-0644,STF2597AB,13104,188405,98038,6.94,7.98,425,y,22,1.085,a,0.024,103.05,0.84,264.03,0.77,1974.28,y,0.23,0.9414,0.002,327.9,1.7,2000,,4,n,Hrt1996a,wds19553-0644b.png
,195719.48+051245.1,19573+0513,A   604,13156,188914,98203,9.06,9.85,134,y,.,0.201,a,.,115,.,91,.,1903,y,.,0.23,.,195,.,2000,1990,3,n,Hei1991,wds19573+0513a.png
,195802.77+045608.8,19580+0456,A   606,13169,189044,98272,9.52,9.33,144.937,y,.,0.37,a,.,41.63,.,154.81,.,1912.09,y,.,0.354,.,331.52,.,,1975,4,n,Zae1982,wds19580+0456c.png
,195910.58+230604.6,19592+2306,14 Vul,,189410,98375,5.68,.,285,d,14,12,m,14,92,10,181,94,48484,d,98,0.96,0.25,97,95,,1993,9,,Gln2006,wds19592+2306u.png
,195910.58+230604.6,19592+2306,14 Vul,,189410,98375,5.68,.,284,d,8,8,m,11,93,7,191,93,48526,d,89,0.77,0.31,85,96,,1993,9,,Gln2006,wds19592+2306v.png
,195947.49-095726.2,19598-0957,HO  276,,189340,98416,6.22,7.83,9.741,y,0.02,0.2342,a,0.0012,52.88,0.63,112.71,0.63,1989.79,y,0.57,0.011,0.0034,342,21,2000,,2,n,Hrt1996a,wds19598-0957d.png
,195947.49-095726.2,19598-0957,HO  276,,189340,98416,6.22,7.83,4.895,y,0.0054,0.15,a,0.0027,6,20,147,3,1982.81,y,0.031,0.592,0.0094,142,4.3,,,2,n,Pbx2000b,wds19598-0957a.png
,200014.72-552225.0,20002-5522,B   459BC,,188908,98457,10.98,11.07,73.2,y,.,0.265,a,.,39.2,.,70.8,.,1971.39,y,.,0.222,.,270.2,.,2000,1991,4,n,Sey2002,wds20002-5522a.png
,200112.72-383512.2,20012-3835,HDO 294,,189386,98556,8.08,9.11,4484.5,y,.,4.916,a,.,40.86,.,116.65,.,1922.73,y,.,0.9474,.,137.62,.,1900,1974,5,n,Dom1978,wds20012-3835a.png
,200126.66+104454.8,20014+1045,STF2613,13256,189783,98578,7.48,8.02,2356,y,.,3.822,a,.,81.5,.,162,.,888,y,.,0.67,.,52.2,.,,,5,n,Hop1973b,wds20014+1045a.png
,200808.89-392929.6,20081-3929,RST2134,,190759,99185,10.49,10.9,98,y,.,0.163,a,.,180,.,119,.,1990,y,.,0.14,.,180,.,2000,1989,4,n,Hei1990c,wds20081-3929a.png
,200932.98+334053.8,20096+3341,BD+33 3766,,191589,99312,7.28,.,377.3,d,.,2.42,m,1.8,122.5,32,255.1,34.3,48844.02,d,.,0.253,.,82.4,49.6,,1993,9,,Pbx2000a,wds20096+3341p.png
,201013.31+435643.4,20102+4357,STT 400,13461,191854,99376,7.6,9.83,85.61,y,.,0.449,a,.,116.4,.,142.2,.,1970.27,y,.,0.488,.,339.4,.,2000,,2,n,Hei1997,wds20102+4357c.png
,201118.26-004917.3,20113-0049,MKT  10Ab,,191692,99473,3.23,.,17.122,d,0.001,3.2,m,0.1,143.5,3,99,5,47801.7,d,0.1,0.6,0.02,215,10,2000,1992,1,n,MkT1995,wds20113-0049a.png
,201215.32-080532.1,20123-0806,BU 1205,13493,191841,99558,7.5,8.8,135.5,y,.,0.513,a,.,79,.,50,.,1983.5,y,.,0.345,.,147,.,2000,,4,,Hei1997,wds20123-0806a.png
,201333.86-382651.5,20136-3827,GC 28055,,191889,99668,6.91,.,737.8686,d,34.038,11.25,m,0.94,105.86,5.06,119.25,5.1,47644.0625,d,40.7013,0,.,0,.,,1991,9,n,HIP1997d,wds20136-3827p.png
,201337.90+464428.8,20136+4644,WRH  33Aa,13554,192577,99675,3.78,.,3784.3,d,.,16.17,m,2.76,88.8,.,316.48,7.59,37169.7305,d,.,0.222,.,201.1,.,,1991,9,n,HIP1997d,wds20136+4644k.png
,201504.77+374145.1,20151+3742,COU2416,,192744,,8,8.5,52.26,y,5,0.211,a,0.008,36.9,3,89.4,1,1995.83,y,0.1,0.432,0.04,255.7,1,2000,2005,5,n,Doc2008a,wds20151+3742k.png
,201521.26+641153.6,20154+6412,MLR  60AB,,193215,99832,8.7,8.7,43,y,.,0.208,a,.,106.6,.,164.1,.,1992.3,y,.,0.348,.,293.4,.,2000,1997,3,,Sey2002,wds20154+6412a.png
,201528.32+474251.1,20155+4743,omi 2 Cyg,.,192909,99848,4.02,.,1147.8,d,.,5.5,m,1.2,65.5,8.3,0,227,33141.8,d,.,0.3,.,218.2,.,,1992,9,n,Jnc2005,wds20154+4743u.png
,201540.26+433859.6,20157+4339,A  2095AB,13611,192911,99862,8.9,8.9,105.51,y,12.7,0.454,a,0.107,94.9,2.1,138.4,1.3,2022.08,y,1.6,0.89,0.102,94.6,4.3,2000,1997,3,n,Lin2004a,wds20157+4339b.png
,201654.74+501645.4,20169+5017,BD+49 3245,,193216,99965,8.2,.,407.1834,d,5.6318,16.08,m,1.28,98.16,4.86,130.74,4.6,48427.6875,d,68.34,0.1032,0.0981,312.51,60.73,,1991,9,n,HIP1997d,wds20169+5017p.png
,201654.53+501643.4,20169+5017,BD+49 3245,.,193216,99965,8.2,.,418.8,d,.,14.06,m,0.39,92.2,3.6,303.9,4.5,50218,d,.,0.08,.,243,.,,1992,9,n,Jnc2005,wds20169+5017u.png
,201734.64+262212.9,20176+2622,BU  984,13649,193095,,8.22,9.39,286.5759,y,28.928,0.8,a,0.0523,70.19,7.45,43.99,3.16,2080.014,y,9.62,0.0885,0.0774,2.98,14.6,2000,1994,5,,Pop2000a,wds20176+2622a.png
,201806.99+404355.6,20181+4044,CHR  96Aa,13672,193322,100069,5.8,.,31.3,y,.,0.0665,a,.,58.2,.,240.3,.,1992.4,y,.,0.567,.,71.3,.,2000,1989,4,n,Hrt1993b,wds20181+4044a.png
,201813.43+291215.7,20182+2912,A  1205,13665,334100,100079,9.17,10.08,493.2,y,.,1.942,a,.,98.1,.,285.72,.,1970.78,y,.,0.913,.,74,.,2000,2005,5,n,WSI2006b,wds20182+2912b.png
,201949.67+452150.0,20198+4522,STT 406,13723,193701,100241,7.25,8.74,113.5,y,.,0.336,a,.,128.7,.,101.3,.,1914.5,y,.,0.85,.,151.5,.,2000,1975,3,n,Hei1976,wds20198+4522a.png
,202003.65+233817.2,20201+2338,SAO 88531,,193554,100259,8.29,.,832.0012,d,50.1881,14.95,m,1.45,36.29,10.76,97.88,21.03,48574.1094,d,50.8726,0.3255,0.1375,146.62,38.79,,1991,9,n,HIP1997d,wds20201+2338p.png
,202014.47-343506.6,20202-3435,I  1416,,193194,100266,7.09,8.19,18.6,y,.,0.1521,a,.,99.8,.,125.5,.,1957.8,y,.,0.71,.,0,.,,1960,4,n,B__1961d,wds20202-3435a.png
,202015.22+392411.8,20203+3924,A  1427AB,13728,193702,100268,6.57,8.17,82.55,y,.,0.207,a,.,49.2,.,78,.,1947.5,y,.,0.859,.,224.9,.,,1985,4,n,Doc1987b,wds20203+3924b.png
,202028.13-274928.4,20205-2749,RST3255,,193280,,10.6,10.6,45.7,y,.,0.217,a,.,55.4,.,98,.,1951.9,y,.,0.16,.,91.9,.,2000,1984,4,n,Hei1986a,wds20205-2749a.png
,202056.77+102658.4,20210+1028,J   838,13734,357347,,9.6,9.6,239.84,y,.,7.451,a,.,77.6,.,103,.,1967.51,y,.,0.784,.,258.1,.,2000,1995,5,,Ole2002b,wds20210+1028a.png
,202057.88+443629.7,20210+4437,A   725,13744,,100341,9.46,10.23,159.5,y,.,0.67,a,.,67.5,.,50.5,.,1958.5,y,.,0.5,.,152.5,.,,,4,n,Hei1995,wds20210+4437a.png
,202100.65-144653.0,20210-1447,BLA   7Aa,13717,193495,100345,3.1,4.9,3.76,y,0.02,0.089,a,0.004,92.62,11.49,211,17.19,1916.99,y,0.34,0.432,0.073,245.58,17.19,2000,1992,3,n,Msn1994,wds20210-1447a.png
,202110.69+024905.5,20213+0250,HLD 158,13738,,100355,9.71,9.78,291,y,.,0.97,a,.,128,.,43.4,.,1961.5,y,.,0.79,.,202,.,,,4,n,Hei1998,wds20213+0250a.png
,202135.69+192940.1,20216+1930,COU 327AB,,193797,100397,9.1,9.1,42.46,y,1,0.147,a,0.002,85,0.5,68,0.5,1986.6,y,0.1,0.577,0.003,303,1,2000,2005,4,n,Doc2008a,wds20216+1930k.png
,202205.35+454741.6,20221+4548,HR 7798,.,194152,100437,5.59,.,1124.1,d,.,5.35,m,0.57,54.2,6.4,249.7,8.2,49281,d,.,0.76,.,108.1,.,,1992,9,,Jnc2005,wds20221+4548u.png
,202308.98+205151.1,20231+2052,A   288,13777,194113,100536,8.72,8.98,163.2,y,.,0.206,a,.,30,.,24.5,.,1979.2,y,.,0.533,.,138.6,.,,1991,3,n,Doc1994d,wds20231+2052g.png
,202353.19-422522.5,20239-4225,BU  763AB,,193807,100591,5.93,7.25,700,y,.,2.032,a,.,80,.,40.7,.,1912,y,.,0.401,.,177.3,.,2000,1992,5,n,Sey2002,wds20239-4225a.png
,202505.00+593600.4,20251+5936,A   730,13850,194882,100714,6.94,7.63,92,y,.,0.191,a,.,130,.,55.1,.,1933.5,y,.,0.83,.,267,.,2000,1985,3,n,Hei1986b,wds20251+5936b.png
,202644.38-433356.4,20267-4334,I  1420,,194327,100836,9.38,9.61,81.5,y,.,0.457,a,.,79.9,.,159.3,.,1980.4,y,.,0.353,.,56.8,.,,1991,4,,Zir2001,wds20267-4334a.png
,202653.14-372409.5,20269-3724,R   321,,194433,100852,6.58,8.09,177.5,y,.,1.045,a,.,140,.,148,.,1949.5,y,.,0.67,.,223,.,2000,1986,4,n,Hei1988d,wds20269-3724a.png
,202724.67+724438.2,20274+7245,A   871,13914,,,9.4,9.6,149,y,.,0.316,a,.,57,.,72.1,.,2024,y,.,0.67,.,248,.,,,5,,Hei1998,wds20274+7245a.png
,202851.62-174849.2,20289-1749,SHJ 323AB,13887,194943,101027,4.97,6.88,278,y,.,1.877,a,.,113.3,.,162,.,1965,y,.,0.91,.,144.5,.,2000,1985,5,n,Hei1986b,wds20289-1749b.png
,202902.58+070929.3,20290+0710,A   610,13894,195090,101046,9.52,9.91,170.62,y,.,0.472,a,.,30.3,.,72,.,1984.25,y,.,0.232,.,285.2,.,,2000,3,n,Cot2002,wds20290+0710a.png
,202934.83+625938.9,20296+6300,the Cep,.,195725,101093,4.22,.,840.6,d,.,19.79,m,0.55,104,1.6,95.4,1.7,16214.5,d,.,0.03,.,83.7,.,,1992,9,n,Jnc2005,wds20296+6300u.png
,202948.41+094119.3,20298+0941,AST   2,,,,13.11,16.38,1.4731,y,0.0008,0.0332,a,0.0002,34.3,0.7,75.5,0.2,1998.5668,y,0.0013,0.519,0.0003,12.8,0.3,,1971,2,n,AST2000,wds20298+0941a.png
,203010.77+265035.2,20302+2651,WOR   9AB,,340345,101150,10.5,10.63,210.09,y,.,1.421,a,.,108,.,154.3,.,1937.47,y,.,0.15,.,130.8,.,2000,1996,5,n,Zir2003,wds20302+2651a.png
,203104.33-150321.8,20311-1503,FIN 336,,195330,101221,6.8,7,43.48,y,.,0.124,a,.,55.1,.,170.3,.,1972.28,y,.,0.593,.,96.1,.,2000,1996,3,,Ole2003c,wds20311-1503a.png
,203106.12+154827.5,20311+1548,A  1675,13944,195481,101223,7.14,8.65,49.62,y,.,0.145,a,.,109.4,.,142.6,.,1947.75,y,.,0.568,.,60.2,.,2000,1994,2,n,Hrt2001b,wds20311+1548a.png
,203107.72+333233.6,20311+3333,COU1962,,,101227,9.03,9.51,33.13,y,.,0.213,a,.,71.5,.,109.9,.,1979.57,y,.,0.189,.,25,.,2000,2005,3,n,Doc2006h,wds20311+3333k.png
,203111.94+111533.7,20312+1116,DA    1BC,13946,195482,101233,7.9,8,272,y,27,0.407,a,0.016,63.7,2.2,177.6,2.3,1998.45,y,0.26,0.862,0.012,232.1,2.6,2000,1996,3,,Hrt2000a,wds20312+1116a.png
,203158.19+254818.1,20320+2548,STF2695,13964,195692,101300,6.58,8.75,269,y,.,0.773,a,.,84.1,.,77.4,.,2016.37,y,.,0.431,.,174.1,.,2000,2004,3,n,Alz2005a,wds20320+2548a.png
,203231.57-163634.4,20325-1637,SEE 512,13961,195536,101357,7.94,8.04,88.39,y,.,0.277,a,.,100.6,.,127.8,.,1960.25,y,.,0.104,.,94.2,.,2000,1996,3,n,Sey1999a,wds20325-1637a.png
,203251.64+415354.5,20329+4154,BLA   8,,195987,101382,7.09,.,57.32178,d,0.00029,15.378,m,0.027,99.364,0.08,334.96,0.07,51353.813,d,0.038,0.30626,0.00057,357.4,0.29,,2001,8,n,Trr2002,wds20329+4154k.png
,203252.72+114436.8,20329+1142,J     1,13983,,,10.04,10.57,528.39,y,.,1.545,a,.,58.5,.,38.8,.,2396.22,y,.,0.745,.,228.4,.,,1991,5,,Pop2002b,wds20329+1142a.png
,203253.06+135809.1,20329+1357,L    35CD,13987,,101390,10.6,10.92,112,y,.,0.415,a,.,155.5,.,88,.,1978,y,.,0.17,.,174,.,2000,,3,n,Hei1995,wds20329+1357b.png
,203259.04+495028.3,20330+4950,MCA  61,,196088,101398,6.7,.,75.73,y,.,0.084,a,.,51.7,.,40.9,.,1985.44,y,.,0.29,.,80.6,.,,1998,4,,Sca2001g,wds20330+4950c.png
,203444.16-631842.0,20347-6319,HU 1615,,195429,101543,8.07,8.21,240,y,.,0.298,a,.,63.2,.,178.5,.,2034,y,.,0.398,.,7.9,.,2000,1991,5,,Sey2002,wds20347-6319a.png
,203720.82+753556.7,20374+7536,HEI   7,,197433,101750,7.68v,10.48,31,y,.,0.485,a,.,39.3,.,176.2,.,1997.05,y,.,0.684,.,257.7,.,2000,1999,4,n,Doc2005e,wds20374+7536b.png
Y,203732.87+143542.7,20375+1436,BU  151AB,14073,196524,101769,4.11,5.02,26.65,y,.,0.443,a,.,62.1,.,177.9,.,1962.87,y,.,0.355,.,348.8,.,2000,,1,n,Alz1998a,wds20375+1436b.png
,203820.27-010618.3,20383-0106,71 Aql,14081,196574,101847,4.31,.,205.2,d,.,3.82,m,0.81,147.7,5.9,314,1.3,23358,d,.,0,.,0,.,,1992,9,n,Jnc2005,wds20383-0106u.png
,203907.78+100510.3,20391+1005,kap Del,,196755,101916,5.1,> 8.,45,y,.,0.57,a,.,107,.,326,.,1971.2,y,.,0.8,.,8,.,,,9,n,Gon2003,wds20391+1005a.png
,203916.32-145717.0,20393-1457,HU  200AB,14099,196662,101923,5.38,7.31,420,y,.,0.48,a,.,75,.,93,.,1915,y,.,0.73,.,270,.,,,4,n,Hei1998,wds20393-1457a.png
,203937.20+045818.7,20396+0458,"BAG  14Aa,Ab",.,196795,101955,8.28,.,2.51,y,0.01,0.12,a,0.002,18.2,2.5,173.6,10.9,2000.55,y,0.01,0.62,0.006,87.1,10.3,,2004,2,n,Mlg2008,wds20396+0458g.png
,171856.36-345922.5,17190-3459,MLO   4AB,,156384,84709,6.37,7.38,42.15,y,.,1.81,a,.,128,.,313,.,1975.9,y,.,0.58,.,247,.,2000,,2,n,Sod1999,wds17190-3459a.png
,203937.20+045818.7,20396+0458,"KUI  99Aa,B",.,196795,101955,8.28,9.63,39.4,y,0.2,820,m,30,86.9,0.1,128.5,0.2,1975,y,0.3,0.06,0.01,212,2,,2004,3,n,Mlg2007,wds20396+0458k.png
,203938.25+155443.4,20396+1555,WCK   2Aa,14121,196867,101958,3.86,6.43,17,y,.,0.158,a,.,160,.,129,.,1983.8,y,.,0.47,.,99,.,2000,,2,n,Sod1999,wds20396+1555b.png
,204100.36+390456.4,20410+3905,MCA  62Aa,,197226,102062,6.51,.,56.41,y,.,0.134,a,.,86.2,.,93.6,.,1974.08,y,.,0.104,.,330.7,.,2000,1988,5,n,Ole2003c,wds20410+3905a.png
,204155.44-322457.7,20452-3120,LDS 720BC,,196982,102141,11.36v,11.49,209,y,.,3.18,a,.,137,.,50,.,2082,y,.,0.256,.,36,.,2000,1991,5,n,Hrt2003,wds20452-3120a.png
,204319.41+552052.0,20433+5521,LLO   1,,,,14.67,.,1104,d,9,92.9,m,2.1,82.7,3,22,1.3,53031,d,13,0.35,0.05,89.6,4.8,2000,2007,4,n,Ire2008,wds20433+5521a.png
,204500.25+124336.3,20450+1244,BU   64AB,14238,197683,102398,9.14,8.56,2559.04,y,.,2.677,a,.,75.1,.,159.3,.,1951.41,y,.,0.805,.,138.6,.,2000,2001,4,n,Bdl2007a,wds20450+1244b.png
,204613.25+155425.8,20462+1554,STF2725,14270,197913,102490,7.54,8.2,2851,y,.,7.364,a,.,66,.,20.9,.,1658,y,.,0.18,.,276.3,.,1900,,5,n,Hop1973b,wds20462+1554a.png
,204638.86+160726.8,20467+1607,STF2727,14279,197963,102531,4.36,5.03,3249,y,.,10.22,a,.,148.78,.,88.06  *,.,2305,y,.,0.88,.,331.16,.,2000,1993,4,n,Hle1994,wds20467+1607a.png
,204724.53+362926.7,20474+3629,MCA  63Aa,14296,198183,102589,4.53,4.5,11.63,y,.,0.048,a,.,135,.,150,.,1982.19,y,.,0.524,.,272,.,,,3,n,Bag1992,wds20474+3629c.png
,204724.53+362926.7,20474+3629,STT 413Aa-B,14296,198183,102589,4.73,6.26,391.3,y,.,0.777,a,.,133.8,.,138.6,.,1795,y,.,0.45,.,298.4,.,1900,1946,4,n,Rab1948b,wds20474+3629f.png
,204923.53+112409.6,20494+1124,J   194AB,14333,,102782,10.32,9.97,159,y,.,0.88,a,.,123,.,31,.,1958,y,.,0.26,.,296,.,2000,,3,n,Sod1999,wds20494+1124d.png
,205041.84-311545.4,20507-3116,B   997,,198340,102892,8.66,10.1,61.9,y,.,0.185,a,.,26,.,92,.,1956.3,y,.,0.18,.,171,.,2000,,4,n,Hei1995,wds20507-3116a.png
,205125.69-053735.9,20514-0538,STF2729AB,14360,198571,102945,6.4,7.43,194,y,.,0.86,a,.,67.3,.,174.5,.,1896.3,y,.,0.489,.,46.2,.,,,2,n,Hei1998,wds20514-0538b.png
,205154.47+054429.7,20519+0544,A   613,14368,198684,,9.1,9.03,695,y,.,1.05,a,.,118,.,178.4,.,2605,y,.,0.227,.,160.8,.,2000,1996,5,,Sey2002,wds20519+0544a.png
,205244.94+460647.7,20527+4607,A   750,14396,,103055,9.11,10.26,31.1,y,.,0.237,a,.,119,.,40.3,.,1982,y,.,0.85,.,307,.,2000,1985,4,n,Hei1986b,wds20527+4607b.png
,205341.31+591827.7,20537+5918,A   751,14412,199306,103130,7.66,7.96,57.9,y,1.5,0.1782,a,0.0027,126.7,2.6,179.2,3.4,1976.12,y,0.27,0.621,0.013,277.2,3.4,2000,,2,n,Hrt1989,wds20537+5918b.png
,205502.33+280526.4,20550+2805,BU  367AB,14424,199221,103247,8.31,9,99.99,y,.,0.407,a,.,68.5,.,118.5,.,1934.17,y,.,0.256,.,185,.,2000,2001,2,n,Sca2003e,wds20550+2805a.png
,205531.91+140834.0,20555+1409,BD+13 4571,,,103287,9.13,.,1484,d,430,31,m,9,86,6,339,92,49227,d,584,0.5,0.31,119,96,,1993,9,,Gln2006,wds20555+1409u.png
,205531.91+140834.0,20555+1409,BD+13 4571,,,103287,9.13,.,1347,d,380,30,m,4,88,6,339,92,49222,d,534,0.35,0.31,127,104,,1993,9,,Gln2006,wds20555+1409v.png
,205612.31-314558.7,20562-3146,B  1001,,199147,,9.4,9.7,150,y,.,0.283,a,.,123.1,.,154.5,.,1981.4,y,.,0.547,.,255.5,.,2000,1985,5,,Sey2002,wds20562-3146a.png
,205819.38+442817.5,20583+4428,GC 29274,.,199870,103519,5.56,.,635.1,d,.,7.48,m,0.64,32.4,2.4,306.2,4,39186.1,d,.,0.44,.,148.1,.,,1992,9,n,Jnc2005,wds20583+4428u.png
,205843.50+442452.7,20587+4425,BD+43 3779,,199939,103546,7.44,.,584.9,d,.,1.42,m,0.8,45.8,62.7,185.1,87.6,45255.1,d,.,0.284,.,132.9,82.6,,1993,9,,Pbx2000a,wds20587+4425p.png
