Target?,"RA,Dec (J2000)....",WDS.......,DD............,ADS..,HD....,HIP...,*V1.11*,*V2.22*,PPPP.PPPPPP,*,eee.eeeeee,AAA.AAAAA,*,ee.eeeee,III.IIII,eee.eeee,NNN.NNNN*,eee.eee,e TTTTT.TTTTTT,*,eee.eeeeee,E.EEEEEE,e.eeeeee,OOO.OOOO,eee.eeee,EQNX,LAST,G,N,REF.....,PNGFILE...........
,003329.97+400620.2,00335+4006,HO    3,463,2993,2643,8.09,9.72,64.53,y,0.54,0.388,a,0.017,111.6,0.9,116.5,1.1,1984.84,y,0.59,0.29,0.03,143.1,3.4,2000,1996,3,n,Cve2006e,wds00335+4006c.png
,003429.75-043247.5,00345-0433,D     2AB,475,3125,2713,7.63,8.04,990,y,.,1.88,a,.,79.2,.,92.7,.,2002.5,y,.,0.948,.,271.9,.,2000,1995,4,,Sey2002,wds00345-0433a.png
,003514.64-033533.9,00352-0336,HO  212AB,490,3196,2762,5.61,6.9,6.89,y,.,0.241,a,.,49.4,.,149,.,2000.98,y,.,0.773,.,283.8,.,2000,2004,1,n,Msn2005,wds00352-0336c.png
,003539.48+342846.6,00357+3429,HU 1011,492,3212,2801,8.43,9.78,473.78,y,.,0.387,a,.,134.6,.,155.7,.,2278.94,y,.,0.479,.,260.9,.,2000,1997,5,,Ole2002a,wds00357+3429a.png
,003602.24+295938.4,00360+2959,STF  42AB,497,3266,2844,8.39,9.05,.,,.,.,,.,98.88,.,24.5,.,1971.4,y,.      1,6.36,.,356.2,.,,1962,5,n,Hop1967,
,003633.43+560832.0,00366+5609,A   914,504,3304,2886,8.42,9.29,1240.2,y,.,0.88,a,.,109.4,.,24.7,.,2015.1,y,.,0.477,.,4.4,.,2000,2005,4,,Nov2008a,wds00366+5609u.png
,003652.84+334309.7,00369+3343,MKT   1Aa,513,3369,2912,4.36,.,143.53,d,0.06,6.69,m,0.05,103,0.2,94.7,0.2,47717.7,d,0.4,0.542,0.006,170.7,0.7,2000,1992,1,n,MkT1995,wds00369+3343k.png
,003719.79-244602.0,00373-2446,BU  395,520,3443,2941,6.6,6.2,25.09,y,0.029,0.667,a,0.007,77.6,0.33,291.8,0.47,1898.5,y,0.17,0.235,0.0096,317,2.8,,,1,n,Pbx2000b,wds00373-2446b.png
,003919.60+305140.4,00393+3052,del And,548,3627,3092,3.3,.,52.8,y,.,0.62,a,0.04,137,5,290,7,1958.5,y,1.1,0.5,0.1,231,9,,,9,n,Gon2002b,wds00393+3052a.png
,004135.98+243744.6,00416+2438,WRH  28,,3883,3269,6.06,.,21.26,y,0.94,0.126,a,0.006,33.4,3.6,145.7,6.7,1993.02,y,0.56,0.5,0.04,230.5,8,2000,1988,5,n,Ole2005c,wds00416+2438a.png
